Speaker,X,Z
F01,-67.4205532850666,-8.143552809686632
F01,-66.53461664718066,-7.088855749552291
F01,-65.65931461772257,-6.025343874280649
F01,-64.80957602673148,-4.941365131182941
F01,-63.99377540656785,-3.831600430985192
F01,-63.19707253603533,-2.7079803356806
F01,-62.38847478877938,-1.5929387598565126
F01,-61.51378134022441,-0.5296132531477836
F01,-60.54937638170186,0.4526970392430021
F01,-59.48662492031102,1.327652509582144
F01,-58.35359821568562,2.110020212258218
F01,-57.17085529731675,2.815361825409098
F01,-55.941396225206084,3.4355982566543144
F01,-54.66387319884722,3.9491287499653973
F01,-53.34280598036054,4.337258856115806
F01,-51.99517935210841,4.6198970659272085
F01,-50.62824093897824,4.7846495528317305
F01,-49.25314161654785,4.862316048909401
F01,-47.87687365868112,4.918531076168028
F01,-46.50073505653355,4.977768422754352
F01,-45.12371602469743,5.010494811310298
F01,-43.746480507345055,5.013757991334754
F01,-42.37099035598296,4.9433684706796495
F01,-40.994709399587585,4.895170555866134
F01,-39.61964083621542,4.96313360921975
F01,-38.25525321835993,5.150372395956972
F01,-36.89396593464794,5.360477401592161
F01,-35.53178731087154,5.564695005170392
F01,-34.17429799847219,5.797923629318751
F01,-32.8138911356303,6.012243968088289
F01,-31.441669433883323,6.124600358834374
F01,-30.06553545810443,6.092338883514369
F01,-28.710705406525626,5.853385924350473
F01,-27.41646160203437,5.386854283953565
F01,-26.21055435513757,4.723774585766127
F01,-25.094705552576166,3.9168915867209773
F01,-24.01455743023442,3.0622098826284416
F01,-22.915434215763725,2.2324599078400023
F01,-21.764066669974312,1.477083882209422
F01,-20.557226401503424,0.8137211527397084
F01,-19.316161775534724,0.21624266558857205
F01,-18.103839686731423,-0.4366438759584754
F01,-16.950897710170608,-1.1896446637386484
F01,-15.816382443259485,-1.970752048418717
F01,-14.661620231466564,-2.72116134311986
F01,-13.455301254812861,-3.3848352208583243
F01,-12.20182833465319,-3.955424000392693
F01,-10.931764496588876,-4.488420505608012
F01,-9.695076811650146,-5.093824983792029
F01,-8.495391003214223,-5.770575103238377
F02,-63.13116662523717,5.117839246989296
F02,-62.302166654270565,6.185474494602127
F02,-61.33109480283244,6.943101476726929
F02,-60.10260030643448,6.400820202768683
F02,-58.872780645845545,6.927322521397494
F02,-57.45923185171999,6.920874914147486
F02,-56.351179643911294,7.7163214258319694
F02,-55.44849259687945,7.13098963388609
F02,-54.23552715710886,7.208923287338319
F02,-52.89418305591667,7.418322800655334
F02,-51.695564098477846,7.049660392859808
F02,-50.53111225409361,6.933245059101397
F02,-49.33749850149532,6.700323973346906
F02,-47.98280368672946,6.9161656059894
F02,-46.66651107676387,6.621635180928151
F02,-45.33095704224083,6.380486496555383
F02,-43.98879691549355,6.639625016319258
F02,-42.829855568347824,6.735239005937547
F02,-41.461701241385086,6.913475440994281
F02,-40.138200442070335,7.236050542402744
F02,-38.97925535371723,7.331667842790122
F02,-37.59228237900563,7.455018698158123
F02,-36.17755134027102,7.45590640304624
F02,-34.762819338677524,7.455910596541395
F02,-33.348087337069046,7.4559105657732
F02,-31.933355335460554,7.455910565795487
F02,-30.51862333385207,7.455910611112057
F02,-29.103891332518984,7.455912689773397
F02,-27.68916075652359,7.454752196488372
F02,-26.326466326966152,7.280637680582863
F02,-25.121244040043383,6.6224166814184375
F02,-23.78427493708576,6.39241680857655
F02,-22.61437203211287,5.744339788700436
F02,-21.594126106897836,4.782529792259316
F02,-20.269976545582242,4.479106182811041
F02,-19.077151945868234,3.8174724820300847
F02,-18.070544149242377,2.8251162168496116
F02,-16.884906294621867,2.166927160518305
F02,-15.887986139452366,1.1634775912059063
F02,-14.887354224586453,0.16337664313196915
F02,-13.88667027147922,-0.8366722010901043
F02,-12.887960679256993,-1.8382346586675777
F02,-11.702586421433516,-2.496800837528478
F02,-10.695813579983454,-3.4898781035004993
F02,-9.698428996992678,-4.4928644973126275
F02,-8.504695517486372,-5.1543733221846235
F02,-7.3053943235178185,-5.80936493536683
F02,-6.3050324296500815,-6.80886178610764
F02,-5.5484191376004235,-7.992541341074404
F02,-4.9372403915875935,-9.268255021759664
F03,-58.18880639051365,-6.272697571241168
F03,-56.91538545688841,-5.308519490185464
F03,-55.59410660392058,-4.4142506854513535
F03,-54.17849590399591,-3.6743239041024514
F03,-52.815505623788056,-2.8429444615097283
F03,-51.51124061057246,-1.9211663263899972
F03,-50.22268753066455,-0.9775441737516264
F03,-48.76713140087667,-0.3338327780568471
F03,-47.26951962789035,0.22132937990770737
F03,-45.70291284293273,0.507859999235758
F03,-44.17633841381196,0.9410058379597689
F03,-42.68106991496401,1.4788277721610181
F03,-41.08734928975588,1.5305977371936366
F03,-39.490226148769125,1.5019268508138799
F03,-37.897617714940786,1.6064388977845168
F03,-36.31160026788653,1.7277069271479994
F03,-34.72277031129673,1.6090467534844555
F03,-33.141732324851375,1.8320393554847223
F03,-31.55655488495419,2.0234894448444996
F03,-29.987525332204665,2.3090660147890807
F03,-28.409491450869687,2.531200459281731
F03,-26.812187328684843,2.5330454359773484
F03,-25.214772046928783,2.538058856203966
F03,-23.624344879068957,2.420830618995069
F03,-22.06220656843918,2.090110020381982
F03,-20.50748783591605,1.7418324839306798
F03,-19.073800355860854,1.0428352017097158
F03,-17.719384051625656,0.19621536865997452
F03,-16.33127240547394,-0.5942166488933565
F03,-14.994850118951335,-1.467284445607445
F03,-13.828536311692158,-2.552784362406104
F03,-12.794663517576062,-3.770247880969922
F03,-11.65311441736232,-4.885175364231387
F03,-10.307335617403082,-5.731716328437898
F03,-8.805822218659674,-6.275218883507499
F03,-7.2701698712804905,-6.711546589865534
F03,-5.794969255578549,-7.314958425786939
F03,-4.392062807260622,-8.07587087708365
F03,-2.906115964692996,-8.660746766743253
F03,-1.5782176792630451,-9.532685290094767
F03,-0.4832996988414377,-10.693864224815616
F03,0.5722705720015288,-11.890310560833292
F03,1.894864949645171,-12.775433116672238
F03,3.374037022929275,-13.373734320499922
F03,4.866771755557497,-13.92305671613471
F03,6.032362110622651,-15.003528540315031
F03,7.349501592151126,-15.87826401013973
F03,8.75355680572935,-16.568765993441257
F03,9.556557602363707,-17.937011917820733
F03,10.112388644135176,-19.434074675431226
F04,-54.22332418101525,6.589771159236004
F04,-53.22148161213745,7.387087530036878
F04,-51.977623129336365,7.572129177651226
F04,-50.72226668433457,7.735595343138766
F04,-49.58684497764123,8.331997185659011
F04,-48.38599598220792,8.719400129053504
F04,-47.10325814737242,8.695748023981343
F04,-45.832870907630934,8.81623940558688
F04,-44.60714553595473,8.832542177282347
F04,-43.36459356862684,8.867632352554141
F04,-42.17093015804208,9.283915718848114
F04,-40.88807450125638,9.27054293865511
F04,-39.605254768712804,9.26123675386998
F04,-38.41137783865906,9.688206110685988
F04,-37.21084282157965,9.425830739326182
F04,-35.9728051305173,9.090342366639854
F04,-34.72847229508607,9.128879822450019
F04,-33.47647388087961,9.083592577055391
F04,-32.256335505469536,8.917419118141488
F04,-31.01005342639771,8.690392970667288
F04,-29.729757673797245,8.693777436263549
F04,-28.541779725128432,8.237340621255846
F04,-27.626784656575175,7.3766823585676455
F04,-27.012261360357257,6.251657815042392
F04,-26.00992997753487,5.466205095335832
F04,-24.85416478203605,4.916288355200781
F04,-23.71174473845565,4.33264025161236
F04,-22.516606185419967,4.620143844364984
F04,-21.623651168903137,3.8339050849140888
F04,-20.924154549002484,2.7638281847018753
F04,-19.750908258073427,2.486659164699423
F04,-18.776040900506672,1.7808670651242733
F04,-18.117498501724672,0.6800959033103413
F04,-17.31698287880536,-0.31482962082851285
F04,-16.59426317703507,-1.3612097130814989
F04,-15.948565863581148,-2.457616321540148
F04,-15.016689145362943,-3.334112156269764
F04,-14.042309289244663,-4.167303190478983
F04,-12.899788351370738,-4.746726231468437
F04,-11.65779215394873,-5.053278439261265
F04,-10.509801267441258,-5.6248530425883025
F04,-9.369381960334694,-6.210106103127243
F04,-8.169880518069615,-6.632619773886592
F04,-6.990726844045966,-7.113532201686685
F04,-5.838320418677137,-7.675471090765667
F04,-4.801449147436351,-8.403120022209452
F04,-4.045056524626732,-9.437094610797073
F04,-3.2886375879123437,-10.471234838215372
F04,-2.4027146501624683,-11.398546040896296
F04,-1.500333934407898,-12.310655332794923
M01,-44.851633339980786,-0.8758711974057211
M01,-43.96917454718573,-0.7276502760092913
M01,-43.08656748087865,-0.5803161869760772
M01,-42.20351742748428,-0.43566453429175556
M01,-41.31960767072433,-0.29638305819057814
M01,-40.43444854623601,-0.16528688766664038
M01,-39.547458865890206,-0.047261431057003006
M01,-38.65866817117976,0.056257528836682086
M01,-37.76786383484102,0.14070921772057765
M01,-36.875340385502206,0.20420761955282135
M01,-35.98149093256732,0.24518762216727638
M01,-35.086809866625394,0.2581172683483003
M01,-34.1921673739026,0.24404620519676362
M01,-33.29856218978315,0.1984856034615873
M01,-32.4072562260899,0.12026982325402237
M01,-31.519319345069405,0.010001558835795203
M01,-30.636928002853104,-0.13818233575825953
M01,-29.760692287387258,-0.31913595816797186
M01,-28.892656467554815,-0.5361467530006175
M01,-28.033312236481088,-0.7852789813097822
M01,-27.183546339174413,-1.0654509272746284
M01,-26.34366033539393,-1.3739569284872843
M01,-25.513193254387627,-1.7070612715712568
M01,-24.691447456983163,-2.0611451026510976
M01,-23.87708420631788,-2.4319353066118365
M01,-23.06851951250133,-2.8152167441072873
M01,-22.26454552417161,-3.2080538004244774
M01,-21.463406797716466,-3.6066460412827954
M01,-20.664224398705965,-4.009150560090399
M01,-19.865669745421282,-4.412899713247358
M01,-19.066850257631245,-4.816124261762434
M01,-18.266978844361958,-5.21725681315322
M01,-17.464913105676267,-5.613978245651699
M01,-16.659525483890047,-6.003906076669694
M01,-15.849666893782706,-6.384446842597624
M01,-15.033965552496795,-6.75229140301956
M01,-14.21238326011337,-7.106792758381016
M01,-13.383903271098248,-7.444864702367596
M01,-12.549561440951038,-7.768190713137764
M01,-11.708931022950557,-8.074811886138624
M01,-10.863452142648828,-8.367795014500969
M01,-10.01326305935989,-8.646836888390288
M01,-9.159625671800978,-8.915146013669425
M01,-8.303129801679361,-9.174204328332255
M01,-7.444757554757742,-9.426980254472877
M01,-6.585210160334502,-9.6757378090202
M01,-5.725120490656086,-9.922615418419138
M01,-4.864884156985791,-10.168981860786127
M01,-4.004658617604407,-10.415385992398626
M01,-3.1444610000285067,-10.6618875831615
M02,-65.85679012654498,2.5995070186730915
M02,-64.79593335264897,3.543021172836062
M02,-63.75756670550646,4.5126970726866
M02,-62.50366867449488,5.176029048008741
M02,-61.293008885052764,5.911630539799013
M02,-60.101108996508266,6.679450355905287
M02,-58.756676776598965,7.084758336037813
M02,-57.393443552769,7.427012977191136
M02,-56.03616065268049,7.845277594498778
M02,-54.68849471291328,8.244582746863165
M02,-53.26535582544648,8.22830397182038
M02,-51.84854842031879,8.282516105104971
M02,-50.516068686752334,8.76187904506612
M02,-49.18678604685615,9.25319969535843
M02,-47.77928867484598,9.38220446583231
M02,-46.37254383690578,9.51066847954057
M02,-45.03824026750049,9.955363202222152
M02,-43.626108997097134,10.055651936710346
M02,-42.290661842892355,10.516998874612963
M02,-40.91245450933249,10.801654636558675
M02,-39.545675700411614,11.116108961260112
M02,-38.127725678002065,11.140515474159475
M02,-36.79934192686865,11.625374865824963
M02,-35.38343981818133,11.684634259811451
M02,-33.96006726181255,11.691543518081067
M02,-32.552868137614375,11.548096491300216
M02,-31.22304354159808,11.058784760361233
M02,-29.885171951758135,10.590220514915078
M02,-28.552540598414033,10.11458409759166
M02,-27.2799447537082,9.478316736014017
M02,-26.08762951763607,8.710670307663532
M02,-24.887250753369976,7.954938322379898
M02,-23.836151605495342,6.999174685972781
M02,-22.83621585608945,5.986223713798163
M02,-21.644051588619103,5.222309045558974
M02,-20.555819275581865,4.308124090342071
M02,-19.436889493481083,3.429801912484586
M02,-18.374559289267538,2.4894353113434176
M02,-17.27363570476088,1.587903028551437
M02,-16.055361262389383,0.8651938227765721
M02,-15.207841244019216,-0.249492915935417
M02,-14.345490259952909,-1.3786121770411421
M02,-13.304208632640613,-2.3423467564922484
M02,-11.977853324344652,-2.8086313605528086
M02,-10.814220113973798,-3.6160792449079353
M02,-9.43482981720761,-3.8700221631040463
M02,-8.121656758908447,-4.390096039449904
M02,-6.847788513236315,-5.024895841715519
M02,-5.855291413919413,-6.026074034638583
M02,-4.976421560941986,-7.1453943654171255
M03,-63.43452806498473,2.607227171508135
M03,-62.29870949765006,3.1965381803240205
M03,-61.245230613325795,3.9236062542188117
M03,-60.0622113115909,4.396412269139017
M03,-58.85348668497218,4.815581339912245
M03,-57.601283585543,5.0761357042264414
M03,-56.33024231771922,5.135637684935389
M03,-55.15377312987111,5.634346970703097
M03,-54.13370828598798,6.396143984635216
M03,-52.91119999075357,6.696984756531972
M03,-51.67033553126256,6.978881092425222
M03,-50.45587854136338,7.384138887237456
M03,-49.24695179443587,7.797914592672531
M03,-47.973985020399354,7.89161029070554
M03,-46.715305049694216,7.690524908840705
M03,-45.50431810408172,7.287332427465227
M03,-44.23532435475341,7.398586839227212
M03,-42.980822402485984,7.3030895884628695
M03,-41.734132152335086,7.059329737786539
M03,-40.54459147019167,6.649891208894724
M03,-39.274273187398975,6.747812259829176
M03,-38.00909676245436,6.569144274836535
M03,-36.798509563263494,6.160833394973421
M03,-35.529367741217854,6.041142118808678
M03,-34.24886407398364,6.056356455028217
M03,-32.968280845889424,6.063593195483537
M03,-31.687775394434883,6.078897813836542
M03,-30.42959271689137,5.87599795253723
M03,-29.224802171316863,5.444939819718379
M03,-28.016901557445305,5.022645988699319
M03,-26.793102960562713,4.648452474159915
M03,-25.62972015657777,4.113725818306929
M03,-24.528258751793416,3.461701933929976
M03,-23.547028176259403,2.6398704472666132
M03,-22.37767136921277,2.1635386867121236
M03,-21.314582578524952,1.4683328742322357
M03,-20.23881018409375,0.7750463855954756
M03,-19.15363530440858,0.09800743464171083
M03,-18.065777279345053,-0.5732963886373573
M03,-16.94318491695355,-1.1882024764735843
M03,-15.990020253556107,-2.0342184660016858
M03,-15.07015582078742,-2.918733627390523
M03,-13.981764980572285,-3.5898666586037047
M03,-12.908625475338447,-4.286371507907061
M03,-11.725961531900213,-4.717935474360041
M03,-10.45140084025682,-4.800880481967539
M03,-9.27684364014706,-5.288301291039911
M03,-8.209039771628351,-5.992612366176879
M03,-7.058203819944101,-6.5351920792404155
M03,-5.922835083234602,-7.107407318143135
M04,-60.75081586058815,-6.967206229899284
M04,-59.702233621171416,-6.029150065679496
M04,-58.65104638801774,-5.094014622756261
M04,-57.597687284151235,-4.161330083320229
M04,-56.5380318740207,-3.2358051415845033
M04,-55.48163707380249,-2.306566125659524
M04,-54.43109219256848,-1.3707139668138353
M04,-53.354442692010714,-0.4652963926774243
M04,-52.188175903480214,0.31981597457643707
M04,-50.92326495920235,0.9336853994387213
M04,-49.59759153454884,1.4028585150012993
M04,-48.24127131237906,1.7763501572376141
M04,-46.88124959611735,2.1366103933967446
M04,-45.53099354410848,2.531546393651006
M04,-44.1889408573414,2.953868932835043
M04,-42.83532529904346,3.337214167450249
M04,-41.47137640849857,3.682185584596473
M04,-40.10434770126475,4.014812745577112
M04,-38.74906000007744,4.3922361153433584
M04,-37.39587391533561,4.777240227367136
M04,-36.016031810632356,5.044611933335322
M04,-34.611523109279034,5.108313909618073
M04,-33.20467263993541,5.11575819435528
M04,-31.80030715172534,5.196283515519104
M04,-30.39776198297402,5.304598572643852
M04,-28.9984743058524,5.202490316209362
M04,-27.662679796220065,4.77219663293739
M04,-26.415939656792276,4.121855882143287
M04,-25.221993145975127,3.377913656579688
M04,-24.06592782766942,2.5763105372913033
M04,-22.942345942879907,1.729649623714102
M04,-21.840783420897314,0.8544443310232874
M04,-20.755016270560297,-0.04027999581293495
M04,-19.691566275767283,-0.9613802677618281
M04,-18.6446176780196,-1.901250828594859
M04,-17.574827732577848,-2.814718371111108
M04,-16.4468069604617,-3.654654748186757
M04,-15.264953554716817,-4.4175810650393235
M04,-14.068897007969417,-5.158437276129202
M04,-12.888809101979984,-5.92446195785753
M04,-11.707380055975548,-6.688422284599353
M04,-10.50527216690164,-7.419357548572783
M04,-9.31622395530848,-8.171010063497404
M04,-8.212755878720168,-9.042605870806772
M04,-7.210503778270621,-10.029436408961466
M04,-6.245094625880428,-11.052861904429605
M04,-5.265247353732994,-12.06234898133673
M04,-4.224571274746586,-13.008477575740496
M04,-3.0883066759157876,-13.836916481159683
M04,-1.8916363718278504,-14.576626756658147
